Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
13457,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,30.0,45.0,40.00895384,-105.2741637
13476,CONIFEROUS,Pinus,mugo,Mugo Pine,20.0,51.0,40.00831294,-105.2747112
13482,CONIFEROUS,Picea,pungens,Blue Spruce,20.0,50.0,40.00890026,-105.2745181
13307,DECIDUOUS,Malus,None,Apple,20.0,30.0,40.00844637,-105.275321
13811,DECIDUOUS,Fraxinus,americana,Ash,12.0,0.0,40.00991463,-105.2732037
13828,DECIDUOUS,Rhamnus,cathartica,Buckthorn,15.0,15.0,40.01035207,-105.2737232
15604,CONIFEROUS,Abies,concolor,White Fir,4.0,6.0,40.00828795,-105.2732333
10144,DECIDUOUS,Malus,None,Apple,18.0,20.0,40.00914635,-105.2725727
10151,DECIDUOUS,Paulownia,None,Empress Tree,11.0,9.0,40.00912492,-105.2728804
10016,CONIFEROUS,Picea,pungens,Blue Spruce,8.0,18.0,40.00881728,-105.2742443
10018,CONIFEROUS,Picea,pungens,Blue Spruce,6.0,13.0,40.00885621,-105.2742764
10036,DECIDUOUS,Ulmus,americana,American Elm,53.0,65.0,40.00858132,-105.2743693
10044,DECIDUOUS,Acer,saccharinum,Maple,5.0,17.0,40.00872689,-105.2752503
10046,DECIDUOUS,Ulmus,americana,American Elm,40.0,68.0,40.00854903,-105.2751347
10059,DECIDUOUS,Castanea,sativa,European chestnut,15.0,21.0,40.00890301,-105.2750648
10061,DECIDUOUS,Quercus,rubra,Oak 'Heritage',7.0,16.0,40.00898653,-105.2753593
10111,CONIFEROUS,Picea,pungens,Blue Spruce,10.0,38.0,40.00845318,-105.2723395
10128,DECIDUOUS,Acer,saccharinum,Silver Maple,34.0,67.0,40.00879792,-105.2727195
10138,DECIDUOUS,Quercus,palustris,Pin Oak,27.0,47.0,40.00918875,-105.2726963
10282,DECIDUOUS,Quercus,rubra,Northern Red Oak,35.0,45.0,40.00975964,-105.2749031
10283,DECIDUOUS,Gymnocladus,dioicus,Kentucky Coffeetree,35.0,51.0,40.00954999,-105.2751721
10291,DECIDUOUS,Quercus,bicolor,Swamp White Oak,35.0,60.0,40.0094753,-105.2755978
10356,DECIDUOUS,Acer,saccharum,Sugar Maple,12.0,20.0,40.00999295,-105.2751757
10360,DECIDUOUS,Acer,saccharinum,Silver Maple,30.0,35.0,40.01028585,-105.2749089
10469,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,20.0,62.0,40.01024958,-105.2756707
10736,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,25.0,35.0,40.00949791,-105.2734715
10748,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.00960489,-105.2744646
10761,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,25.0,30.0,40.00985836,-105.2762353
10783,DECIDUOUS,Fraxinus,americana,White Ash,25.0,50.0,40.01006796,-105.2742348
